"host","region","service","ctlPerf","workload","count","ms","node","ts"
"192.168.0.250","ASI","APP","0","367","12","171","3","1686239269477"
"192.168.0.180","EUR","FILE","2","497","18","67","5","1686239269485"
"192.168.0.210","ASI","FILE","2","265","10","64","3","1686239269492"
"192.168.0.250","USA","APP","2","400","13","72","4","1686239269501"
"192.168.0.180","USA","FILE","1","540","19","108","4","1686239269507"
"192.168.0.220","ASI","FILE","2","167","7","62","1","1686239269513"
"192.168.0.240","USA","FILE","0","304","10","139","3","1686239269521"
"192.168.0.190","ASI","FILE","2","399","13","77","3","1686239269528"
"192.168.0.200","EUR","APP","1","405","14","78","6","1686239269535"
"192.168.0.230","ASI","FILE","2","307","8","41","3","1686239269542"
"192.168.0.180","USA","FILE","1","568","20","108","3","1686239269554"
"192.168.0.210","ASI","index.html","1","283","11","108","1","1686239269561"
"192.168.0.230","ASI","index.html","2","331","9","59","1","1686239269570"
"192.168.0.180","EUR","index.html","0","583","21","186","5","1686239269576"
"192.168.0.200","EUR","index.html","0","420","15","194","4","1686239269585"
"192.168.0.230","USA","FILE","2","384","10","46","4","1686239269591"
"192.168.0.190","ASI","index.html","1","420","14","80","1","1686239269599"
"192.168.0.220","EUR","FILE","0","215","8","103","5","1686239269605"
"192.168.0.230","EUR","FILE","2","429","11","79","4","1686239269616"
"192.168.0.190","EUR","index.html","2","447","15","47","6","1686239269622"
"192.168.0.220","USA","FILE","1","251","9","98","4","1686239269632"
"192.168.0.250","ASI","index.html","2","421","14","72","1","1686239269638"
"192.168.0.190","ASI","APP","2","477","16","68","1","1686239269644"
"192.168.0.210","ASI","index.html","0","303","12","104","2","1686239269651"
"192.168.0.240","EUR","index.html","1","323","11","97","5","1686239269660"
"192.168.0.180","ASI","APP","0","606","22","184","1","1686239269666"
"192.168.0.200","ASI","index.html","0","437","16","138","1","1686239269678"
"192.168.0.250","ASI","APP","0","452","15","114","1","1686239269684"
"192.168.0.180","ASI","index.html","2","633","23","47","2","1686239269694"
"192.168.0.210","USA","APP","2","343","13","40","3","1686239269700"
"192.168.0.230","EUR","APP","0","457","12","118","5","1686239269709"
"192.168.0.180","ASI","FILE","0","672","24","165","1","1686239269717"
"192.168.0.200","EUR","FILE","2","482","17","56","5","1686239269724"
"192.168.0.250","EUR","index.html","2","477","16","55","7","1686239269732"
"192.168.0.180","ASI","APP","1","702","25","79","3","1686239269740"
"192.168.0.210","EUR","index.html","2","369","14","50","5","1686239269747"
"192.168.0.230","USA","APP","1","482","13","105","3","1686239269755"
"192.168.0.180","EUR","FILE","0","733","26","158","7","1686239269762"
"192.168.0.220","ASI","APP","1","283","10","98","1","1686239269770"
"192.168.0.250","EUR","index.html","0","492","17","199","7","1686239269776"
"192.168.0.180","USA","FILE","0","763","27","103","3","1686239269788"
"192.168.0.200","USA","APP","1","512","18","112","3","1686239269794"
"192.168.0.250","USA","APP","2","524","18","53","4","1686239269801"
"192.168.0.180","EUR","index.html","0","778","28","182","6","1686239269808"
"192.168.0.220","USA","FILE","0","324","11","123","3","1686239269817"
"192.168.0.240","USA","index.html","2","345","12","69","3","1686239269823"
"192.168.0.190","EUR","APP","2","520","17","42","6","1686239269829"
"192.168.0.220","EUR","FILE","0","367","12","157","6","1686239269836"
"192.168.0.230","EUR","index.html","2","512","14","40","7","1686239269842"
"192.168.0.190","EUR","APP","2","555","18","65","6","1686239269854"
"192.168.0.200","ASI","APP","0","537","19","149","1","1686239269861"
"192.168.0.230","EUR","APP","2","548","15","52","4","1686239269867"
"192.168.0.190","EUR","APP","0","579","19","107","7","1686239269873"
"192.168.0.210","USA","index.html","0","384","15","187","3","1686239269881"
"192.168.0.240","USA","FILE","2","381","13","59","4","1686239269887"
"192.168.0.180","ASI","index.html","1","800","29","78","2","1686239269895"
"192.168.0.210","EUR","index.html","1","403","16","95","4","1686239269904"
"192.168.0.240","EUR","FILE","2","423","14","69","4","1686239269916"
"192.168.0.180","USA","FILE","1","839","30","89","4","1686239269921"
"192.168.0.200","USA","APP","2","577","20","44","4","1686239269928"
"192.168.0.240","USA","APP","2","460","15","56","3","1686239269939"
"192.168.0.180","ASI","APP","2","874","31","65","3","1686239269946"
"192.168.0.210","ASI","index.html","2","424","17","74","2","1686239269952"
"192.168.0.240","USA","APP","0","483","16","164","3","1686239269959"
"192.168.0.190","EUR","FILE","0","608","20","199","6","1686239269966"
"192.168.0.220","EUR","APP","2","402","13","42","6","1686239269974"
"192.168.0.240","ASI","index.html","0","499","17","159","2","1686239269980"
"192.168.0.180","USA","APP","1","907","32","86","4","1686239269988"
"192.168.0.210","EUR","index.html","2","449","18","54","7","1686239269995"
"192.168.0.240","ASI","APP","1","528","18","118","1","1686239270001"
"192.168.0.180","ASI","FILE","2","959","33","56","3","1686239270008"
"192.168.0.200","EUR","APP","1","602","21","87","7","1686239270014"
"192.168.0.250","USA","FILE","0","558","19","153","4","1686239270023"
"192.168.0.190","ASI","FILE","2","647","21","56","2","1686239270030"
"192.168.0.200","EUR","index.html","0","618","22","161","5","1686239270037"
"192.168.0.250","ASI","index.html","2","583","20","53","3","1686239270043"
"192.168.0.190","USA","FILE","2","679","22","78","4","1686239270051"
"192.168.0.220","ASI","FILE","1","438","14","97","3","1686239270058"
"192.168.0.240","ASI","APP","1","554","19","104","2","1686239270065"
"192.168.0.190","USA","index.html","1","698","23","104","3","1686239270071"
"192.168.0.200","EUR","FILE","2","655","23","66","4","1686239270078"
"192.168.0.240","EUR","index.html","0","569","20","191","7","1686239270087"
"192.168.0.190","ASI","FILE","2","737","24","68","2","1686239270093"
"192.168.0.220","ASI","index.html","1","459","15","83","1","1686239270102"
"192.168.0.250","EUR","FILE","2","624","21","72","4","1686239270108"
"192.168.0.190","USA","index.html","1","757","25","86","4","1686239270115"
"192.168.0.200","EUR","index.html","0","670","24","187","5","1686239270122"
"192.168.0.240","EUR","APP","2","596","21","77","4","1686239270129"
"192.168.0.190","ASI","index.html","0","772","26","187","3","1686239270135"
"192.168.0.210","ASI","FILE","0","482","19","160","1","1686239270141"
"192.168.0.250","EUR","FILE","1","663","22","76","4","1686239270150"
"192.168.0.190","ASI","APP","0","795","27","159","3","1686239270157"
"192.168.0.220","ASI","APP","2","495","16","45","1","1686239270164"
"192.168.0.250","EUR","index.html","2","689","23","50","5","1686239270170"
"192.168.0.180","ASI","FILE","2","1014","34","46","3","1686239270178"
"192.168.0.210","EUR","APP","0","511","20","152","5","1686239270185"
"192.168.0.250","EUR","FILE","0","728","24","170","6","1686239270192"
"192.168.0.190","USA","index.html","0","811","28","164","4","1686239270199"
"192.168.0.220","USA","FILE","1","528","17","104","3","1686239270205"
"192.168.0.230","USA","APP","2","589","16","47","4","1686239270212"
"192.168.0.190","USA","APP","2","841","29","63","4","1686239270218"
"192.168.0.220","USA","FILE","2","583","18","43","4","1686239270225"
"192.168.0.230","USA","APP","2","624","17","59","4","1686239270231"
"192.168.0.190","USA","FILE","0","879","30","194","4","1686239270239"
"192.168.0.200","EUR","FILE","1","704","25","103","4","1686239270245"
"192.168.0.230","USA","APP","0","654","18","171","3","1686239270254"
"192.168.0.190","EUR","APP","2","908","31","65","5","1686239270260"
"192.168.0.220","EUR","index.html","0","601","19","126","5","1686239270267"
"192.168.0.250","ASI","APP","2","767","25","50","2","1686239270274"
"192.168.0.190","EUR","FILE","2","945","32","73","7","1686239270280"
"192.168.0.200","EUR","APP","2","743","26","51","7","1686239270287"
"192.168.0.250","USA","APP","0","791","26","150","4","1686239270293"
"192.168.0.190","USA","APP","0","967","33","186","4","1686239270301"
"192.168.0.210","USA","index.html","2","532","21","73","3","1686239270307"
"192.168.0.230","ASI","FILE","0","694","19","170","1","1686239270313"
"192.168.0.180","USA","FILE","2","1061","35","70","3","1686239270319"
"192.168.0.210","EUR","APP","2","572","22","46","6","1686239270325"
"192.168.0.230","EUR","APP","2","728","20","59","6","1686239270330"
"192.168.0.180","EUR","index.html","2","1083","36","65","4","1686239270337"
"192.168.0.200","USA","index.html","2","763","27","78","3","1686239270343"
"192.168.0.250","EUR","index.html","0","808","27","140","5","1686239270349"
"192.168.0.180","USA","index.html","0","1099","37","161","3","1686239270355"
"192.168.0.200","ASI","APP","1","793","28","83","2","1686239270360"
"192.168.0.250","USA","APP","0","837","28","170","4","1686239270366"
"192.168.0.180","USA","FILE","1","1139","38","78","4","1686239270372"
"192.168.0.200","EUR","index.html","1","811","29","119","5","1686239270377"
"192.168.0.240","EUR","APP","0","621","22","133","7","1686239270383"
"192.168.0.180","USA","APP","1","1163","39","101","4","1686239270389"
"192.168.0.200","USA","index.html","0","827","30","175","3","1686239270396"
"192.168.0.240","ASI","index.html","0","641","23","103","2","1686239270401"
"192.168.0.180","EUR","APP","2","1201","40","46","5","1686239270406"
"192.168.0.220","USA","FILE","1","633","20","87","4","1686239270414"
"192.168.0.240","ASI","FILE","1","688","24","101","3","1686239270418"
"192.168.0.190","EUR","index.html","2","987","34","79","4","1686239270426"
"192.168.0.200","USA","FILE","1","862","31","111","3","1686239270431"
"192.168.0.250","USA","APP","0","868","29","101","3","1686239270437"
"192.168.0.190","ASI","index.html","2","1008","35","75","1","1686239270444"
"192.168.0.200","EUR","APP","2","896","32","58","7","1686239270449"
"192.168.0.230","USA","APP","0","753","21","107","4","1686239270455"
"192.168.0.180","ASI","APP","1","1226","41","114","1","1686239270461"
"192.168.0.210","ASI","index.html","2","600","23","44","1","1686239270467"
"192.168.0.240","EUR","FILE","0","731","25","159","7","1686239270474"
"192.168.0.190","ASI","index.html","0","1026","36","123","2","1686239270480"
"192.168.0.220","ASI","FILE","0","664","21","181","1","1686239270486"
"192.168.0.240","ASI","FILE","2","775","26","64","1","1686239270491"
"192.168.0.180","USA","APP","1","1261","42","84","3","1686239270497"
"192.168.0.200","USA","FILE","2","947","33","61","4","1686239270504"
"192.168.0.240","EUR","index.html","2","798","27","63","5","1686239270510"
"192.168.0.190","USA","FILE","1","1064","37","87","3","1686239270516"
"192.168.0.200","USA","FILE","2","989","34","64","3","1686239270523"
"192.168.0.240","USA","index.html","2","825","28","48","3","1686239270529"
"192.168.0.190","USA","APP","2","1102","38","52","3","1686239270536"
"192.168.0.210","USA","index.html","2","625","24","55","4","1686239270542"
"192.168.0.230","EUR","FILE","0","790","22","120","4","1686239270548"
"192.168.0.180","ASI","APP","0","1286","43","187","1","1686239270554"
"192.168.0.200","ASI","APP","2","1025","35","67","1","1686239270559"
"192.168.0.250","USA","APP","1","892","30","103","3","1686239270565"
"192.168.0.180","USA","index.html","1","1308","44","78","4","1686239270571"
"192.168.0.220","USA","APP","1","693","22","115","4","1686239270577"
"192.168.0.230","ASI","index.html","0","809","23","107","3","1686239270584"
"192.168.0.190","ASI","index.html","0","1120","39","119","2","1686239270589"
"192.168.0.200","USA","FILE","1","1071","36","97","3","1686239270595"
"192.168.0.250","EUR","index.html","0","908","31","166","5","1686239270601"
"192.168.0.180","ASI","APP","1","1340","45","116","2","1686239270607"
"192.168.0.200","USA","FILE","2","1125","37","46","4","1686239270623"
"192.168.0.240","EUR","index.html","1","843","29","112","5","1686239270631"
"192.168.0.180","EUR","FILE","1","1383","46","108","4","1686239270636"
"192.168.0.200","EUR","FILE","2","1168","38","58","7","1686239270641"
"192.168.0.230","ASI","FILE","0","850","24","102","1","1686239270649"
"192.168.0.190","ASI","FILE","1","1166","40","85","1","1686239270655"
"192.168.0.220","EUR","index.html","0","708","23","190","6","1686239270662"
"192.168.0.230","EUR","APP","0","875","25","119","5","1686239270667"
"192.168.0.190","ASI","APP","2","1198","41","49","3","1686239270672"
"192.168.0.220","EUR","APP","0","734","24","189","4","1686239270679"
"192.168.0.240","ASI","index.html","1","865","30","78","3","1686239270684"
"192.168.0.190","ASI","index.html","1","1216","42","108","2","1686239270690"
"192.168.0.210","USA","APP","1","649","25","103","4","1686239270696"
"192.168.0.250","USA","FILE","0","944","32","144","3","1686239270702"
"192.168.0.180","ASI","APP","0","1410","47","178","3","1686239270708"
"192.168.0.220","EUR","index.html","0","749","25","198","4","1686239270716"
"192.168.0.230","ASI","index.html","1","893","26","108","3","1686239270722"
"192.168.0.190","EUR","FILE","1","1261","43","83","7","1686239270728"
"192.168.0.200","ASI","FILE","2","1211","39","63","2","1686239270734"
"192.168.0.230","USA","FILE","1","931","27","80","3","1686239270742"
"192.168.0.180","USA","index.html","1","1432","48","77","3","1686239270748"
"192.168.0.210","ASI","index.html","1","667","26","107","3","1686239270753"
"192.168.0.250","USA","FILE","2","995","33","50","3","1686239270761"
"192.168.0.180","EUR","index.html","0","1450","49","119","5","1686239270766"
"192.168.0.200","EUR","APP","2","1246","40","64","5","1686239270774"
"192.168.0.250","ASI","FILE","2","1043","34","73","2","1686239270779"
"192.168.0.190","USA","index.html","2","1286","44","55","3","1686239270785"
"192.168.0.200","EUR","index.html","0","1261","41","190","4","1686239270790"
"192.168.0.240","EUR","FILE","0","907","31","181","6","1686239270796"
"192.168.0.180","ASI","FILE","0","1478","50","186","2","1686239270804"
"192.168.0.210","EUR","FILE","0","711","27","142","7","1686239270809"
"192.168.0.230","ASI","APP","1","956","28","116","2","1686239270815"
"192.168.0.190","ASI","APP","2","1318","45","49","3","1686239270824"
"192.168.0.210","USA","APP","2","745","28","61","3","1686239270829"
"192.168.0.250","ASI","FILE","2","1085","35","50","1","1686239270835"
"192.168.0.180","USA","index.html","2","1507","51","43","3","1686239270841"
"192.168.0.200","EUR","FILE","2","1299","42","60","5","1686239270847"
"192.168.0.240","USA","index.html","0","925","32","131","3","1686239270853"
"192.168.0.190","EUR","index.html","0","1335","46","141","5","1686239270859"
"192.168.0.200","EUR","APP","0","1329","43","109","7","1686239270864"
"192.168.0.240","EUR","index.html","0","944","33","110","4","1686239270870"
"192.168.0.190","ASI","APP","1","1367","47","79","1","1686239270875"
"192.168.0.210","EUR","FILE","2","795","29","60","5","1686239270884"
"192.168.0.250","ASI","APP","0","1110","36","129","1","1686239270889"
"192.168.0.190","ASI","index.html","0","1386","48","109","3","1686239270896"
"192.168.0.210","USA","APP","1","824","30","91","3","1686239270902"
"192.168.0.250","EUR","index.html","2","1131","37","70","7","1686239270906"
"192.168.0.180","USA","APP","1","1538","52","90","3","1686239270914"
"192.168.0.200","USA","FILE","1","1375","44","117","3","1686239270919"
"192.168.0.240","EUR","index.html","1","962","34","118","7","1686239270925"
"192.168.0.190","EUR","index.html","1","1407","49","84","5","1686239270931"
"192.168.0.210","USA","FILE","2","857","31","70","3","1686239270937"
"192.168.0.230","ASI","index.html","2","977","29","76","1","1686239270947"
"192.168.0.180","USA","FILE","0","1581","53","159","3","1686239270952"
"192.168.0.210","ASI","APP","0","881","32","199","3","1686239270959"
"192.168.0.250","ASI","APP","1","1156","38","119","3","1686239270964"
"192.168.0.180","EUR","index.html","2","1602","54","76","7","1686239270969"
"192.168.0.220","EUR","index.html","1","767","26","116","7","1686239270977"
"192.168.0.230","ASI","FILE","0","1015","30","178","1","1686239270982"
"192.168.0.190","ASI","index.html","1","1425","50","111","1","1686239270988"
"192.168.0.210","ASI","index.html","1","900","33","97","2","1686239270994"
"192.168.0.240","EUR","index.html","2","985","35","64","7","1686239270999"
"192.168.0.180","USA","APP","2","1635","55","78","4","1686239271008"
"192.168.0.200","EUR","APP","0","1399","45","151","5","1686239271014"
"192.168.0.250","USA","APP","2","1190","39","69","3","1686239271021"
"192.168.0.190","EUR","index.html","1","1447","51","78","6","1686239271027"
"192.168.0.210","ASI","APP","2","930","34","60","1","1686239271032"
"192.168.0.230","EUR","index.html","1","1033","31","113","4","1686239271040"
"192.168.0.190","EUR","index.html","2","1468","52","72","4","1686239271045"
"192.168.0.200","USA","APP","0","1424","46","158","4","1686239271050"
"192.168.0.250","USA","FILE","1","1220","40","97","4","1686239271056"
"192.168.0.180","ASI","APP","0","1656","56","163","1","1686239271062"
"192.168.0.210","USA","index.html","2","952","35","68","3","1686239271069"
"192.168.0.250","USA","FILE","0","1258","41","191","3","1686239271074"
"192.168.0.180","USA","FILE","2","1693","57","69","3","1686239271079"
"192.168.0.200","ASI","FILE","0","1471","47","122","2","1686239271088"
"192.168.0.250","USA","FILE","2","1297","42","60","4","1686239271107"
"192.168.0.180","USA","index.html","1","1712","58","102","4","1686239271129"
"192.168.0.220","ASI","index.html","2","788","27","72","1","1686239271149"
"192.168.0.240","USA","index.html","0","1000","36","198","4","1686239271167"
"192.168.0.180","USA","index.html","2","1733","59","73","4","1686239271184"
"192.168.0.200","EUR","FILE","1","1514","48","110","5","1686239271202"
"192.168.0.230","EUR","FILE","2","1077","32","48","6","1686239271223"
"192.168.0.190","ASI","FILE","1","1513","53","89","1","1686239271232"
"192.168.0.210","ASI","FILE","2","986","36","65","2","1686239271236"
"192.168.0.230","ASI","FILE","0","1105","33","192","2","1686239271246"
"192.168.0.190","ASI","FILE","1","1560","54","83","3","1686239271251"
"192.168.0.220","ASI","APP","2","822","28","68","2","1686239271261"
"192.168.0.240","USA","index.html","2","1030","37","40","3","1686239271266"
"192.168.0.190","ASI","APP","0","1582","55","192","3","1686239271274"
"192.168.0.210","USA","APP","1","1017","37","82","4","1686239271282"
"192.168.0.250","ASI","APP","0","1322","43","134","1","1686239271293"
"192.168.0.180","USA","index.html","1","1751","60","110","4","1686239271299"
"192.168.0.220","EUR","index.html","1","840","29","117","4","1686239271306"
"192.168.0.240","EUR","APP","2","1061","38","68","5","1686239271309"
"192.168.0.180","ASI","FILE","2","1803","61","60","3","1686239271312"
"192.168.0.200","EUR","APP","1","1540","49","84","7","1686239271316"
"192.168.0.250","USA","index.html","2","1342","44","78","4","1686239271321"
"192.168.0.190","EUR","FILE","0","1617","56","134","7","1686239271325"
"192.168.0.210","USA","index.html","0","1032","38","192","3","1686239271328"
"192.168.0.240","USA","FILE","0","1103","39","188","3","1686239271331"
"192.168.0.180","USA","FILE","2","1843","62","55","3","1686239271336"
"192.168.0.210","EUR","FILE","0","1072","39","138","4","1686239271339"
"192.168.0.250","ASI","APP","2","1382","45","50","1","1686239271342"
"192.168.0.180","EUR","index.html","0","1863","63","104","5","1686239271346"
"192.168.0.220","USA","index.html","0","856","30","157","3","1686239271353"
"192.168.0.230","EUR","APP","2","1143","34","41","5","1686239271356"
"192.168.0.190","USA","FILE","0","1656","57","108","3","1686239271359"
"192.168.0.210","ASI","index.html","2","1095","40","61","1","1686239271362"
"192.168.0.250","ASI","APP","0","1407","46","170","2","1686239271367"
"192.168.0.190","USA","FILE","1","1690","58","99","4","1686239271371"
"192.168.0.220","USA","APP","1","888","31","83","4","1686239271375"
"192.168.0.250","ASI","FILE","0","1438","47","156","2","1686239271377"
"192.168.0.180","EUR","FILE","0","1910","64","108","7","1686239271385"
"192.168.0.210","USA","APP","0","1117","41","155","4","1686239271388"
"192.168.0.230","USA","FILE","1","1188","35","114","3","1686239271391"
"192.168.0.180","EUR","APP","0","1937","65","116","4","1686239271396"
"192.168.0.210","ASI","index.html","2","1142","42","52","2","1686239271399"
"192.168.0.240","EUR","FILE","2","1146","40","55","6","1686239271402"
"192.168.0.180","EUR","index.html","0","1952","66","184","7","1686239271406"
"192.168.0.210","USA","FILE","1","1172","43","94","4","1686239271408"
"192.168.0.250","ASI","FILE","1","1484","48","114","2","1686239271413"
"192.168.0.180","USA","index.html","0","1967","67","194","3","1686239271417"
"192.168.0.220","ASI","index.html","1","906","32","110","3","1686239271420"
"192.168.0.230","USA","APP","2","1229","36","40","3","1686239271423"
"192.168.0.190","USA","index.html","0","1708","59","129","4","1686239271429"
"192.168.0.200","USA","APP","0","1569","50","120","3","1686239271432"
"192.168.0.250","ASI","APP","0","1509","49","107","2","1686239271435"
"192.168.0.190","USA","index.html","0","1723","60","183","4","1686239271439"
"192.168.0.210","USA","APP","1","1203","44","97","4","1686239271446"
"192.168.0.250","USA","APP","0","1532","50","142","3","1686239271450"
"192.168.0.180","USA","APP","2","1996","68","63","4","1686239271453"
"192.168.0.200","USA","FILE","0","1603","51","154","4","1686239271456"
"192.168.0.250","ASI","APP","1","1562","51","112","1","1686239271460"
"192.168.0.190","EUR","index.html","1","1743","61","87","5","1686239271463"
"192.168.0.200","ASI","FILE","0","1636","52","143","1","1686239271466"
"192.168.0.230","EUR","FILE","1","1274","37","96","4","1686239271470"
"192.168.0.190","USA","FILE","1","1777","62","98","4","1686239271472"
"192.168.0.220","EUR","FILE","1","950","33","98","7","1686239271478"
"192.168.0.240","ASI","index.html","0","1162","41","178","1","1686239271481"
"192.168.0.190","ASI","index.html","2","1806","63","42","1","1686239271484"
"192.168.0.210","EUR","APP","2","1243","45","41","7","1686239271487"
"192.168.0.240","ASI","FILE","2","1212","42","52","1","1686239271492"
"192.168.0.180","ASI","index.html","0","2014","69","122","1","1686239271496"
"192.168.0.210","ASI","FILE","2","1290","46","66","2","1686239271499"
"192.168.0.250","USA","APP","1","1593","52","115","3","1686239271502"
"192.168.0.190","USA","index.html","2","1826","64","79","4","1686239271508"
"192.168.0.220","EUR","FILE","1","992","34","78","7","1686239271511"
"192.168.0.240","ASI","FILE","2","1249","43","77","2","1686239271514"
"192.168.0.180","USA","APP","0","2040","70","167","4","1686239271517"
"192.168.0.200","ASI","FILE","0","1672","53","168","2","1686239271522"
"192.168.0.240","ASI","APP","2","1274","44","78","1","1686239271526"
"192.168.0.180","EUR","APP","2","2074","71","69","7","1686239271529"
"192.168.0.220","USA","FILE","1","1033","35","105","4","1686239271532"
"192.168.0.250","ASI","APP","0","1624","53","149","2","1686239271535"
"192.168.0.180","ASI","FILE","1","2109","72","112","2","1686239271540"
"192.168.0.200","USA","FILE","2","1708","54","69","4","1686239271543"
"192.168.0.240","ASI","APP","1","1303","45","109","3","1686239271546"
"192.168.0.190","ASI","FILE","0","1857","65","164","1","1686239271549"
"192.168.0.220","EUR","APP","1","1062","36","110","6","1686239271553"
"192.168.0.230","USA","APP","2","1301","38","73","4","1686239271558"
"192.168.0.180","ASI","APP","1","2140","73","79","3","1686239271560"
"192.168.0.200","EUR","FILE","2","1746","55","70","4","1686239271563"
"192.168.0.240","USA","index.html","1","1322","46","96","3","1686239271566"
"192.168.0.190","USA","index.html","0","1874","66","147","4","1686239271571"
"192.168.0.210","ASI","APP","2","1323","47","60","3","1686239271575"
